abstract,study_type,year,url,title
"Botulinum toxin type A (BONT-A) has shown promise in improving the mood-related symptoms of psychiatric disorders by targeting muscles linked to the expression of negative emotions. We conducted a systematic review of past and ongoing efficacy trials of BONT-A therapy for psychiatric disorders to identify relevant trends in the field and discuss the refinement of therapeutic techniques. A comprehensive search for published clinical trials using BONT-A injections for psychiatric disorders was performed on 4 May 2023 through OVID databases (MEDLINE, Embase, APA PsycINFO). Unpublished clinical trials were searched through the ClinicalTrials.gov and International Clinical Trial Registry Platform public registries. The risk of bias was assessed using the JBI Critical Appraisal tools for use in systematic reviews. We identified 21 studies (17 published, 4 unpublished clinical trials) involving 471 patients. The studies focused on evaluating the efficacy of BONT-A for major depressive, borderline personality, social anxiety, and bipolar disorders. BONT-A was most commonly injected into the glabellar area, with an average dose ranging between 37.75 U and 44.5 U in published studies and between 32.7 U and 41.3 U in unpublished trials. The results indicated significant symptom reductions across all the studied psychiatric conditions, with mild adverse effects. Thus, BONT-A appears to be safe and well-tolerated for psychiatric disorders of negative affectivity. However, despite the clinical focus, there was a noted shortage of biomarker-related assessments. Future studies should focus on pursuing mechanistic explorations of BONT-A effects at the neurobiological level.",systematic_review,2024,https://pubmed.ncbi.nlm.nih.gov/38668616/,Botulinum Toxin Injections for Psychiatric Disorders: A Systematic Review of the Clinical Trial Landscape
"Botulinum toxin (BoNT), a presynaptic inhibitor of acetylcholine (Ach) release at the neuromuscular junction (NMJ), is a successful and safe drug for the treatment of several neurological disorders. However, a wide and recent literature review has demonstrated that BoNT exerts its effects not only at the ""periphery"" but also within the central nervous system (CNS). Studies from animal models, in fact, have shown a retrograde transport to the CNS, thus modulating synaptic function. The increasing number of articles reporting efficacy of BoNT on chronic neuropathic pain (CNP), a complex disease of the CNS, demonstrates that the central mechanisms of BoNT are far from being completely elucidated. In this new light, BoNT might interfere with the activity of spinal, brain stem, and cortical circuitry, modulating excitability and the functional organization of CNS in healthy conditions. Botulinum toxins efficacy on CNP is the result of a wide and complex action on many and diverse mechanisms at the basis of the maladaptive plasticity, the core of the pathogenesis of CNP. This systematic review aims to discuss in detail the BoNT's mechanisms and effects on peripheral and central neuroplasticity, at the basis for the clinical efficacy in CNP syndromes.",systematic_review,2024,https://pubmed.ncbi.nlm.nih.gov/38452215/,Peripheral and central neurobiological effects of botulinum toxin A (BoNT/A) in neuropathic pain: a systematic review
"Temporomandibular disorders (TMDs) encompass several conditions that cause pain and impair function of the masticatory muscles (M-TMDs) and temporomandibular joints. There is a large interest among clinicians and researchers in the use of botulinum toxin-A (BoNT-A) as a treatment for M-TMD. However, due to the lack of consistent evidence regarding the efficacy as well as adverse events of BoNT-A, clinical decision making is challenging. Therefore, this umbrella review aimed to systematically assess systematic reviews (SRs) evaluating BoNT-A treatment effects on pain intensity, mandibular movements, and adverse events in patients with M-TMDs. An electronic search was undertaken in the databases MEDLINE, EMBASE, CINAHL, Cochrane Central Registry of Controlled Trials (CENTRAL), Web of Science, Epistemonikos, ClinicalTrials.gov, and ICTRP to identify SRs investigating BoNT-A effects on M-TMDs, published from the inception of each database until 6 December 2023. The quality of evidence was rated according to the critical appraisal checklist developed by the umbrella review methodology working group. Only high-quality SRs were included. In total, 18 SRs were included. BoNT-A was shown to be more effective than placebo to reduce pain intensity, but not compared to standard treatments. Additionally, BoNT-A was not superior to placebo or standard treatments regarding improvement of mandibular movements. BoNT-A was considered to have a higher risk for adverse events on muscle and bony tissue compared with other treatments. The synthesis in this umbrella review provides the highest level of evidence present. Taken together, there are indications of effectiveness of BoNT-A for treatment of M-TMDs, supported by moderate evidence. However, considering the risk of causing serious adverse events, treatment with BoNT-A is recommended to be the last treatment alternative.",systematic_review,2024,https://pubmed.ncbi.nlm.nih.gov/38900335/,Botulinum Toxin-A for the Treatment of Myogenous Temporomandibular Disorders: An Umbrella Review of Systematic Reviews
"The objective of this review article is to comprehensively analyze Botox treatment, emphasizing its aesthetic and therapeutic applications, along with the associated advantages, disadvantages, and patient outcomes. By reviewing current literature, the article evaluates Botox's efficacy and safety in various clinical settings, including cosmetic procedures and medical treatments for conditions such as chronic migraines and excessive sweating, while also exploring patient satisfaction and potential risks.",systematic_review,2024,https://pmc.ncbi.nlm.nih.gov/articles/PMC11427080/,"A Systematic Review and Comparative Analysis of Botox Treatment in Aesthetic and Therapeutic Applications: Advantages, Disadvantages, and Patient Outcomes"
"Background: Psychological interventions are increasingly discussed as a method to prevent major depressive disorder (MDD) in adults who already experience subthreshold depressive symptoms. In this individual participant data meta-analysis, we quantify the effect of preventive interventions against control on MDD onset in this population, and explore effect modifiers. Methods: In this systematic review and individual participant data meta-analysis, we screened full-texts of eligible studies within the Metapsy research domain for articles on psychological interventions for depression, from database inception to May 1, 2023, published in English, German, Spanish, and Dutch. We included individual participant data of randomised trials comparing psychological interventions with a control group regarding their effects on MDD onset in adults with subthreshold depressive symptoms but no MDD at baseline, confirmed by standardised diagnostic interviews. Risk of bias was assessed using the RoB 2 tool. Effect on the onset of MDD (the primary outcome) and moderators were analysed using one-stage individual participant data meta-analysis. Survival analyses were conducted to examine effects on time to MDD onset within 12 months. We involved people with related lived experience in the study design and implementation. This study is registered with PROSPERO, CRD42017058585. Findings: 30 of 42 eligible randomised controlled trials with 7201 participants (2227 [30·9%] male, 4957 [68·9%] female, and 17 [0·2%] preferred not to report their sex) were included in our analysis (3697 participants had intervention and 3504 participants had control). The mean age of participants was 49·9 years (SD 19·2). Of the 3152 participants with reported ethnicity, 1608 (51·0%) were White. Five studies received a high risk of bias rating. Psychological interventions were associated with significantly reduced MDD incidence at post-treatment (incidence rate ratio [IRR] 0·57 [95% CI 0·35-0·93]; τ2=0·29; 18 studies), within 6 months (0·58 [0·39-0·88]; τ2=0·11; 18 studies), and within 12 months (0·67 [0·51-0·88]; τ2=0·05; 19 studies). No significant effect was observed at 24 months (IRR 1·16 [95% CI 0·66-2·03]; τ2=0·10; six studies). Preventive effects were stronger for individuals who had not previously had psychotherapy (IRR 0·39 [95% CI 0·25-0·62]) compared with those who had received psychotherapy before (0·92 [0·61-1·36]; p=0·029; seven studies). Although no overall linear association was identified, higher baseline depressive (Patient Health Questionnaire-9) and anxiety symptom (Generalized Anxiety Disorder-7) scores were associated with greater reductions in MDD onset risk. On the study level, delivery type appeared to moderate outcomes, with conference telephone calls being more effective than delivery via face-to-face, internet-based, and other formats (p=0·002), albeit based on only two studies of conference telephone calls with four comparisons. Other factors (eg, age) showed no significant differential effects. Interpretation: Our findings show the effectiveness of preventive psychological interventions for subthreshold depressive symptoms. Tailoring interventions to consider participant-level and study-level factors could help to increase the impact of such interventions on a population level.",systematic_review,2024,https://pubmed.ncbi.nlm.nih.gov/39572120/,Psychological interventions to prevent the onset of major depression in adults: a systematic review and individual participant data meta-analysis
"Botulinum neurotoxin-A (BoNT-A) injections are effective for focal spasticity. However, the impact on muscle strength is not established. This study aimed to investigate the effect of BoNT-A injections on muscle strength in adult neurological conditions. Studies were included if they were Randomised Controlled Trials (RCTs), non-RCTs, or cohort studies (n ≥ 10) involving participants ≥18 years old receiving BoNT-A injection for spasticity in their upper and/or lower limbs. Eight databases (CINAHL, Cochrane, EMBASE, Google Scholar, Medline, PEDro, Pubmed, Web of Science) were searched in March 2024. The methodology followed Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines and was registered in the Prospective Register of Systematic Reviews (PROSPERO: CRD42022315241). Quality was assessed using the modified Downs and Black checklist and the PEDro scale. Pre-/post-injection agonist, antagonist, and global strength outcomes at short-, medium-, and long-term time points were extracted for analysis. Following duplicate removal, 8536 studies were identified; 54 met the inclusion criteria (3176 participants) and were rated as fair-quality. Twenty studies were analysed as they reported muscle strength specific to the muscle injected. No change in agonist strength after BoNT-A injection was reported in 74% of the results. Most studies' outcomes were within six weeks post-injection, with few long-term results (i.e., >three months). Overall, the impact of BoNT-A on muscle strength remains inconclusive.",systematic_review,2024,https://pmc.ncbi.nlm.nih.gov/articles/PMC11359732/,The Effect of Botulinum Neurotoxin-A (BoNT-A) on Muscle Strength in Adult-Onset Neurological Conditions with Focal Muscle Spasticity: A Systematic Review
"Background: Depression is a leading cause of disability worldwide. Preliminary evidence suggests that glabellar onabotulinumtoxinA injections improve depression scores with few side effects compared to current first-line antidepressant medications. The authors' review reports on these studies, hypothesizing that glabellar onabotulinumtoxinA injections can be an alternative safe and effective treatment for depression. Methods: A systematic review and meta-analysis of the relevant literature was performed in accordance with Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. The PubMed, Cochrane Library, Embase, and Scopus databases were searched in August of 2020 using the keywords [""botox"" OR ""botulinum""] AND [""mood"" OR ""depression""] for articles published between 1980 and 2020. Prospective studies and randomized controlled trials on the use of glabellar onabotulinumtoxinA injections for the primary purpose of treating depression were considered. The primary endpoint for the meta-analysis was the mean difference in primary depression scores after treatment, along with a second endpoint of the standardized mean difference in depression scores among treated patients including all nine studies. Results: Of the 499 reviewed articles, nine studies were included that reported improvement in mean depression scores from baseline. All five randomized controlled trials reported an improvement in mean depression scores at 6 weeks after treatment, with a weighted average change of -8.39 points ( p < 0.0001). The aggregate standardized mean difference from baseline to the primary endpoint across all nine prospective studies was -1.61 SD ( p < 0.0001). Conclusion: Meta-analysis and systematic review of the included studies provide support for an antidepressant effect of glabellar onabotulinumtoxinA injections. Trial registration: ClinicalTrials.gov NCT01392963.",systematic_review,2022,https://pubmed.ncbi.nlm.nih.gov/35588104/,Glabellar Botulinum Toxin Injection Improves Depression Scores: A Systematic Review and Meta-Analysis
"We performed a systematic review and meta-analysis of randomised controlled trials (RCTs) conducted from January 2005 to June 2021 to update the evidence of Botulinum toxin A (BoNT-A) in neuropathic pain (NP) in addition to quality of life (QOL), mental health, and sleep outcomes. We conducted a Cochrane Grading of Recommendations Assessment, Development, and Evaluation (GRADE) criteria analysis of RCTs from the following data sources: EMBASE, CINAHL, WHO International Clinical Trial Registry Platform, ClinicalTrials.gov, Cochrane database, Cochrane Clinical Trial Register, Australia New Zealand Clinical Trials Registry, and EU Clinical Trials Register. Meta-analysis of 17 studies showed a mean final VAS reduction in pain in the intervention group of 2.59 units (95% confidence interval: 1.79, 3.38) greater than the mean for the placebo group. The overall mean difference for sleep, Hospital Anxiety and Depression Scale (HADS) anxiety, HADS depression, and QOL mental and physical sub-scales were, respectively, 1.10 (95% CI: -1.71, 3.90), 1.41 (95% CI: -0.61, 3.43), -0.16 (95% CI: -1.95, 1.63), 0.85 (95% CI: -1.85, 3.56), and -0.71 (95% CI: -3.39, 1.97), indicating no significance. BoNT-A is effective for NP; however, small-scale RCTs to date have been limited in evidence. The reasons for this are discussed, and methods for future RCTs are developed to establish BoNT-A as the first-line agent.",systematic_review,2022,https://pubmed.ncbi.nlm.nih.gov/35051013/,A Systematic Review and Meta-Analysis of Efficacy of Botulinum Toxin A for Neuropathic Pain
"The effects of psychotherapies for depression have been examined in several hundreds of randomized trials, but no recent network meta-analysis (NMA) has integrated the results of these studies. We conducted an NMA of trials comparing cognitive behavioural, interpersonal, psychodynamic, problem-solving, behavioural activation, life-review and ""third wave"" therapies and non-directive supportive counseling with each other and with care-as-usual, waiting list and pill placebo control conditions. Response (50% reduction in symptoms) was the primary outcome, but we also assessed remission, standardized mean difference, and acceptability (all-cause dropout rate). Random-effects pairwise and network meta-analyses were conducted on 331 randomized trials with 34,285 patients. All therapies were more efficacious than care-as-usual and waiting list control conditions, and all therapies - except non-directive supportive counseling and psychodynamic therapy - were more efficacious than pill placebo. Standardized mean differences compared with care-as-usual ranged from -0.81 for life-review therapy to -0.32 for non-directive supportive counseling. Individual psychotherapies did not differ significantly from each other, with the only exception of non-directive supportive counseling, which was less efficacious than all other therapies. The results were similar when only studies with low risk of bias were included. Most therapies still had significant effects at 12-month follow-up compared to care-as-usual, and problem-solving therapy was found to have a somewhat higher long-term efficacy than some other therapies. No consistent differences in acceptability were found. Our conclusion is that the most important types of psychotherapy are efficacious and acceptable in the acute treatment of adult depression, with few significant differences between them. Patient preference and availability of each treatment type may play a larger role in the choice between types of psychotherapy, although it is possible that a more detailed characterization of patients with a diagnosis of depression may lead to a more precise matching between individual patients and individual psychotherapies.",systematic_review,2021,https://pubmed.ncbi.nlm.nih.gov/34002502/,"Psychotherapies for depression: a network meta-analysis covering efficacy, acceptability and long-term outcomes of all main treatment types"
"Background: Before 2020, mental disorders were leading causes of the global health-related burden, with depressive and anxiety disorders being leading contributors to this burden. The emergence of the COVID-19 pandemic has created an environment where many determinants of poor mental health are exacerbated. The need for up-to-date information on the mental health impacts of COVID-19 in a way that informs health system responses is imperative. In this study, we aimed to quantify the impact of the COVID-19 pandemic on the prevalence and burden of major depressive disorder and anxiety disorders globally in 2020. Methods: We conducted a systematic review of data reporting the prevalence of major depressive disorder and anxiety disorders during the COVID-19 pandemic and published between Jan 1, 2020, and Jan 29, 2021. We searched PubMed, Google Scholar, preprint servers, grey literature sources, and consulted experts. Eligible studies reported prevalence of depressive or anxiety disorders that were representative of the general population during the COVID-19 pandemic and had a pre-pandemic baseline. We used the assembled data in a meta-regression to estimate change in the prevalence of major depressive disorder and anxiety disorders between pre-pandemic and mid-pandemic (using periods as defined by each study) via COVID-19 impact indicators (human mobility, daily SARS-CoV-2 infection rate, and daily excess mortality rate). We then used this model to estimate the change from pre-pandemic prevalence (estimated using Disease Modelling Meta-Regression version 2.1 [known as DisMod-MR 2.1]) by age, sex, and location. We used final prevalence estimates and disability weights to estimate years lived with disability and disability-adjusted life-years (DALYs) for major depressive disorder and anxiety disorders. Findings: We identified 5683 unique data sources, of which 48 met inclusion criteria (46 studies met criteria for major depressive disorder and 27 for anxiety disorders). Two COVID-19 impact indicators, specifically daily SARS-CoV-2 infection rates and reductions in human mobility, were associated with increased prevalence of major depressive disorder (regression coefficient [B] 0·9 [95% uncertainty interval 0·1 to 1·8; p=0·029] for human mobility, 18·1 [7·9 to 28·3; p=0·0005] for daily SARS-CoV-2 infection) and anxiety disorders (0·9 [0·1 to 1·7; p=0·022] and 13·8 [10·7 to 17·0; p<0·0001]. Females were affected more by the pandemic than males (B 0·1 [0·1 to 0·2; p=0·0001] for major depressive disorder, 0·1 [0·1 to 0·2; p=0·0001] for anxiety disorders) and younger age groups were more affected than older age groups (-0·007 [-0·009 to -0·006; p=0·0001] for major depressive disorder, -0·003 [-0·005 to -0·002; p=0·0001] for anxiety disorders). We estimated that the locations hit hardest by the pandemic in 2020, as measured with decreased human mobility and daily SARS-CoV-2 infection rate, had the greatest increases in prevalence of major depressive disorder and anxiety disorders. We estimated an additional 53·2 million (44·8 to 62·9) cases of major depressive disorder globally (an increase of 27·6% [25·1 to 30·3]) due to the COVID-19 pandemic, such that the total prevalence was 3152·9 cases (2722·5 to 3654·5) per 100 000 population. We also estimated an additional 76·2 million (64·3 to 90·6) cases of anxiety disorders globally (an increase of 25·6% [23·2 to 28·0]), such that the total prevalence was 4802·4 cases (4108·2 to 5588·6) per 100 000 population. Altogether, major depressive disorder caused 49·4 million (33·6 to 68·7) DALYs and anxiety disorders caused 44·5 million (30·2 to 62·5) DALYs globally in 2020. Interpretation: This pandemic has created an increased urgency to strengthen mental health systems in most countries. Mitigation strategies could incorporate ways to promote mental wellbeing and target determinants of poor mental health and interventions to treat those with a mental disorder. Taking no action to address the burden of major depressive disorder and anxiety disorders should not be an option.",systematic_review,2021,https://pubmed.ncbi.nlm.nih.gov/34634250/,Global prevalence and burden of depressive and anxiety disorders in 204 countries and territories in 2020 due to the COVID-19 pandemic
